ability, 1
explain, 8
difficult, 1
way, 11
it, 1
best, 4
prof, 1
sir, 5
even, 2
thank, 3
make, 1
think, 1
reprimand, 1
handle, 1
know, 2
weakness, 1
considerate, 2
strict, 1
ever, 1
patient, 2
continue, 1
point, 6
easy, 1
let, 1
wrong, 1
right, 1
agree, 1
reach, 1
side, 1
appropriate, 2
none, 10
need, 2
spoon, 1
one, 4
understand, 6
easily, 1
far, 1
critical, 1
pleasing, 1
manage, 1
mag, 1
well, 5
help, 1
class, 3
respect, 1
trust, 1
manner, 1
friendly, 3
hard, 1
come, 3
polite, 1
kind, 2
real, 2
balanced, 1
n, 1
t, 1
want, 1
less, 3
order, 1
certain, 1
please, 1
time, 1
eager, 1
perfect, 1